file,label
/tmp/tmp0itnvikp/valid/two of hearts/4.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/two of hearts/5.jpg,Picture of Card of Hearts
/tmp/tmp0itnvikp/valid/two of hearts/2.jpg,Image of Card of Hearts
/tmp/tmp0itnvikp/valid/two of hearts/3.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/two of hearts/1.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/jack of hearts/4.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/jack of hearts/5.jpg,Royal Card of Hearts
/tmp/tmp0itnvikp/valid/jack of hearts/2.jpg,Image of Card of Hearts
/tmp/tmp0itnvikp/valid/jack of hearts/3.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/jack of hearts/1.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/queen of clubs/4.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/queen of clubs/5.jpg,Royal Card of Spades
/tmp/tmp0itnvikp/valid/queen of clubs/2.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/queen of clubs/3.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/queen of clubs/1.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/seven of diamonds/4.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/seven of diamonds/5.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/seven of diamonds/2.jpg,Picture of Card of Diamonds
/tmp/tmp0itnvikp/valid/seven of diamonds/3.jpg,Image of Card of Diamonds
/tmp/tmp0itnvikp/valid/seven of diamonds/1.jpg,Image of Card of Diamonds
/tmp/tmp0itnvikp/valid/three of spades/4.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/three of spades/5.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/three of spades/2.jpg,Royal Card of Spades
/tmp/tmp0itnvikp/valid/three of spades/3.jpg,Image of Card of Hearts
/tmp/tmp0itnvikp/valid/three of spades/1.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/ten of clubs/4.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/ten of clubs/5.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/ten of clubs/2.jpg,Royal Card of Spades
/tmp/tmp0itnvikp/valid/ten of clubs/3.jpg,Poker Card of Spades
/tmp/tmp0itnvikp/valid/ten of clubs/1.jpg,Poker Card of Spades
/tmp/tmp0itnvikp/valid/ace of spades/4.jpg,Royal Card of Spades
/tmp/tmp0itnvikp/valid/ace of spades/5.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/ace of spades/2.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/ace of spades/3.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/ace of spades/1.jpg,Royal Card of Spades
/tmp/tmp0itnvikp/valid/eight of clubs/4.jpg,Poker Card of Spades
/tmp/tmp0itnvikp/valid/eight of clubs/5.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/eight of clubs/2.jpg,Poker Card of Spades
/tmp/tmp0itnvikp/valid/eight of clubs/3.jpg,Image of Card of Clubs
/tmp/tmp0itnvikp/valid/eight of clubs/1.jpg,Vintage Card of Spades
/tmp/tmp0itnvikp/valid/ten of diamonds/4.jpg,Image of Card of Diamonds
/tmp/tmp0itnvikp/valid/ten of diamonds/5.jpg,Poker Card of Spades
/tmp/tmp0itnvikp/valid/ten of diamonds/2.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/ten of diamonds/3.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/ten of diamonds/1.jpg,Poker Card of Diamonds
/tmp/tmp0itnvikp/valid/six of spades/4.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/six of spades/5.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/six of spades/2.jpg,Image of Card of Hearts
/tmp/tmp0itnvikp/valid/six of spades/3.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/six of spades/1.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/three of diamonds/4.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/three of diamonds/5.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/three of diamonds/2.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/three of diamonds/3.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/three of diamonds/1.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/nine of diamonds/4.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/nine of diamonds/5.jpg,Image of Card of Diamonds
/tmp/tmp0itnvikp/valid/nine of diamonds/2.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/nine of diamonds/3.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/nine of diamonds/1.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/two of diamonds/4.jpg,Picture of Card of Diamonds
/tmp/tmp0itnvikp/valid/two of diamonds/5.jpg,Vintage Card of Spades
/tmp/tmp0itnvikp/valid/two of diamonds/2.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/two of diamonds/3.jpg,Picture of Card of Hearts
/tmp/tmp0itnvikp/valid/two of diamonds/1.jpg,Classic Card of Hearts
/tmp/tmp0itnvikp/valid/king of clubs/4.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/king of clubs/5.jpg,Poker Card of Spades
/tmp/tmp0itnvikp/valid/king of clubs/2.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/king of clubs/3.jpg,Royal Card of Spades
/tmp/tmp0itnvikp/valid/king of clubs/1.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/nine of clubs/4.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/nine of clubs/5.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/nine of clubs/2.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/nine of clubs/3.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/nine of clubs/1.jpg,Picture of Card of Clubs
/tmp/tmp0itnvikp/valid/three of clubs/4.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/three of clubs/5.jpg,Poker Card of Spades
/tmp/tmp0itnvikp/valid/three of clubs/2.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/three of clubs/3.jpg,Poker Card of Spades
/tmp/tmp0itnvikp/valid/three of clubs/1.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/queen of spades/4.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/queen of spades/5.jpg,Royal Card of Spades
/tmp/tmp0itnvikp/valid/queen of spades/2.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/queen of spades/3.jpg,Royal Card of Spades
/tmp/tmp0itnvikp/valid/queen of spades/1.jpg,Royal Card of Hearts
/tmp/tmp0itnvikp/valid/queen of diamonds/4.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/queen of diamonds/5.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/queen of diamonds/2.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/queen of diamonds/3.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/queen of diamonds/1.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/five of diamonds/4.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/five of diamonds/5.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/five of diamonds/2.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/five of diamonds/3.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/five of diamonds/1.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/five of spades/4.jpg,Image of Card of Hearts
/tmp/tmp0itnvikp/valid/five of spades/5.jpg,Image of Card of Hearts
/tmp/tmp0itnvikp/valid/five of spades/2.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/five of spades/3.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/five of spades/1.jpg,Royal Card of Hearts
/tmp/tmp0itnvikp/valid/jack of spades/4.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/jack of spades/5.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/jack of spades/2.jpg,Royal Card of Spades
/tmp/tmp0itnvikp/valid/jack of spades/3.jpg,Royal Card of Spades
/tmp/tmp0itnvikp/valid/jack of spades/1.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/ace of hearts/4.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/ace of hearts/5.jpg,Image of Card of Hearts
/tmp/tmp0itnvikp/valid/ace of hearts/2.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/ace of hearts/3.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/ace of hearts/1.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/eight of hearts/4.jpg,Royal Card of Hearts
/tmp/tmp0itnvikp/valid/eight of hearts/5.jpg,Picture of Card of Hearts
/tmp/tmp0itnvikp/valid/eight of hearts/2.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/eight of hearts/3.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/eight of hearts/1.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/ten of spades/4.jpg,Picture of Card of Hearts
/tmp/tmp0itnvikp/valid/ten of spades/5.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/ten of spades/2.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/ten of spades/3.jpg,Picture of Card of Hearts
/tmp/tmp0itnvikp/valid/ten of spades/1.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/two of spades/4.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/two of spades/5.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/two of spades/2.jpg,Elegant Card of Spades
/tmp/tmp0itnvikp/valid/two of spades/3.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/two of spades/1.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/king of diamonds/4.jpg,Royal Card of Diamonds
/tmp/tmp0itnvikp/valid/king of diamonds/5.jpg,Royal Card of Spades
/tmp/tmp0itnvikp/valid/king of diamonds/2.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/king of diamonds/3.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/king of diamonds/1.jpg,Royal Card of Spades
/tmp/tmp0itnvikp/valid/jack of clubs/4.jpg,Image of Card of Clubs
/tmp/tmp0itnvikp/valid/jack of clubs/5.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/jack of clubs/2.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/jack of clubs/3.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/jack of clubs/1.jpg,Royal Card of Clubs
/tmp/tmp0itnvikp/valid/ten of hearts/4.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/ten of hearts/5.jpg,Image of Card of Hearts
/tmp/tmp0itnvikp/valid/ten of hearts/2.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/ten of hearts/3.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/ten of hearts/1.jpg,Poker Card of Hearts
/tmp/tmp0itnvikp/valid/six of clubs/4.jpg,Poker Card of Spades
/tmp/tmp0itnvikp/valid/six of clubs/5.jpg,Card of Spades
/tmp/tmp0itnvikp/valid/six of clubs/2.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/six of clubs/3.jpg,Poker Card of Spades
/tmp/tmp0itnvikp/valid/six of clubs/1.jpg,Royal Card of Spades
/tmp/tmp0itnvikp/valid/jack of diamonds/4.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/jack of diamonds/5.jpg,Royal Card of Diamonds
/tmp/tmp0itnvikp/valid/jack of diamonds/2.jpg,Poker Card of Diamonds
/tmp/tmp0itnvikp/valid/jack of diamonds/3.jpg,Poker Card of Spades
/tmp/tmp0itnvikp/valid/jack of diamonds/1.jpg,Royal Card of Diamonds
/tmp/tmp0itnvikp/valid/eight of spades/4.jpg,Image of Card of Hearts
/tmp/tmp0itnvikp/valid/eight of spades/5.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/eight of spades/2.jpg,Image of Card of Spades
/tmp/tmp0itnvikp/valid/eight of spades/3.jpg,Picture of Card of Spades
/tmp/tmp0itnvikp/valid/eight of spades/1.jpg,Picture of Card of Hearts
/tmp/tmp0itnvikp/valid/seven of hearts/4.jpg,Poker Card of Hearts
