category,fraction,average_dot_product,variance,second_best_category
image of dog,0.5959404600811908,0.2459874,0.00019009042,picture of dog
image of cat,0.0888362652232747,0.25300267,0.00015615564,picture of cat
cool picture of cat,0.0010825439783491205,0.2565379,0.000505507,image of cat
image of cats,0.0017591339648173206,0.26855925,0.00014603138,picture of cats
moving picture of dog,0.002638700947225981,0.2618186,0.00011733862,image of dog
picture of dog,0.0022327469553450607,0.26643908,0.0002733433,image of dog
moving dog,0.0010148849797023004,0.26347563,0.00019861062,image of dog
image of cool dog,0.011028416779431664,0.26952714,0.00010749021,image of dog
moving cat,0.0034506089309878215,0.27337536,0.0001375161,image of cat
image of nice dog,0.03423545331529093,0.26894677,0.000107414635,image of dog
sitting cat,0.03538565629228688,0.2752439,8.476943e-05,image of nice cat
cool picture of dog,0.003991880920162382,0.26957178,8.394758e-05,image of cool dog
cute dog,0.02178619756427605,0.2677827,8.257872e-05,cute image of dog
sitting dog,0.0604871447902571,0.27007443,0.000103440594,image of dog
image of nice cat,0.06332882273342355,0.2734247,6.418147e-05,image of cat
cute cat,0.007171853856562923,0.27634686,8.5542786e-05,image of nice cat
funny picture of cat,0.0027063599458728013,0.27897793,8.171797e-05,funny image of cat
cat picture,0.0010825439783491205,0.2697293,5.312264e-05,picture of cat
dog picture,0.0016914749661705007,0.26576763,6.706238e-05,image of dog
nice dog,0.0013531799729364006,0.2583477,0.0001013875,image of dog
funny image of cat,0.003247631935047361,0.27202246,7.632872e-05,funny picture of cat
dog image,0.004330175913396482,0.2622835,6.687641e-05,image of dog
cat image,0.005480378890392422,0.26405823,9.043423e-05,image of cat
funny cat,0.004127198917456022,0.2726601,7.681768e-05,funny picture of cat
funny dog,0.004600811907983762,0.26665592,8.3271196e-05,funny image of dog
cool dog,0.0007442489851150202,0.26746118,0.00014100292,image of cool dog
cool cat,0.0008119079837618403,0.2643905,0.00012293458,image of cool cat
funny image of dog,0.009945872801082544,0.269271,8.1230995e-05,funny picture of dog
funny picture of dog,0.0046684709066305815,0.27471378,0.00010835952,funny image of dog
image of cool cat,0.0038565629228687415,0.26869777,0.00010378319,image of nice cat
nice cat,0.003991880920162382,0.26889247,9.5933174e-05,image of nice cat
image of dogs,0.004803788903924222,0.26605806,0.00010639513,image of dog
cute image of dog,0.004871447902571042,0.26652157,0.00010648039,cute dog
moving picture of cat,0.0008795669824086603,0.26943666,1.6313334e-05,cat image
cute image of cat,0.0005412719891745603,0.26552933,2.182275e-05,cute cat
cute picture of dog,0.00040595399188092014,0.27132246,4.9685437e-05,cute image of dog
picture of cat,0.0010825439783491205,0.2747992,4.5977533e-05,image of cat
dog,0.00040595399188092014,0.2610656,2.7254224e-05,image of dog
