file,label
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (52).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (836).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (292).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (815).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (514).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (631).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (922).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (268).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (458).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (541).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (131).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (950).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (660).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (328).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (112).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (182).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (302).jpeg,Taquito
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (308).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (902).jpeg,Sandwich
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (872).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (290).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (1169).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (1454).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (212).jpeg,Burger
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (976).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (725).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (1070).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (1326).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (69).jpeg,Taco
/tmp/tmpmrkyfphq/Fast Food Classification V2/Train/Taco/Taco-Train (649).jpeg,Taco
