category,fraction,average_dot_product,variance,second_best_category
Taco,0.1079,0.27192122,0.00024468507,Taquito
Taquito,0.068,0.27462435,0.00018915288,Taco
Sandwich,0.1119,0.28217432,0.00031253244,Burger
Burger,0.10085,0.276938,0.0001587837,Sandwich
Fries,0.10525,0.29210564,0.00041009535,Cripsy Chicken
Cripsy Chicken,0.11315,0.27194247,0.00028913483,Fries
Hot Dog,0.0937,0.2845559,0.0002752933,Sandwich
Baked Potato,0.09605,0.2898713,0.0005282115,Cripsy Chicken
Pizza,0.10335,0.28057003,0.00013781631,Cripsy Chicken
Donut,0.09985,0.2868037,0.00032620342,Burger
