file,label
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (52).jpeg,Carb-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (836).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (292).jpeg,Carb-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (815).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (514).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (631).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (922).jpeg,Carb-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (268).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (458).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (541).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (131).jpeg,Carb-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (950).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (660).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (328).jpeg,Carb-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (112).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (182).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (302).jpeg,Carb-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (308).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (902).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (872).jpeg,Carb-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (290).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (1169).jpeg,Carb-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (1454).jpeg,Carb-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (212).jpeg,Carb-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (976).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (725).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (1070).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (1326).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (69).jpeg,Carb-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (649).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (317).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (502).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (944).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (311).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (346).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (1232).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (1186).jpeg,Carb-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (17).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (728).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (1248).jpeg,Carb-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (217).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (626).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (681).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (880).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (1375).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (163).jpeg,Protein-based Food
/tmp/tmpqcc9ykq7/Fast Food Classification V2/Train/Taco/Taco-Train (321).jpeg,Carb-based Food
