category,fraction,average_dot_product,variance,second_best_category
Tee,0.029381562706367617,0.2531029,9.290301e-05,Blouse
Jersey,0.0040659823185088635,0.25475645,0.0001405145,Tee
Cutoffs,0.03298770178647369,0.26967213,0.00021309528,Blouse
Halter,0.0074785031929716595,0.2589373,0.00012398207,Cutoffs
Blouse,0.13043297871236978,0.2723999,0.00013123732,Button-Down
Jeans,0.017059146904356063,0.27969128,0.00014697177,Jeggings
Button-Down,0.029585553315884645,0.27224085,0.00019202857,Blouse
Kaftan,0.010078519097324266,0.27558488,0.0001727986,Caftan
Anorak,0.0005428224693927649,0.25493246,0.00020989339,Tee
Caftan,0.032486368932575914,0.2784171,0.00018519713,Kaftan
Shirtdress,0.15270598729726273,0.27870026,0.00017886436,Dress
Jumpsuit,0.03932869802129109,0.28119367,0.0002492917,Romper
Romper,0.03958800811813477,0.2788243,0.0001655572,Shirtdress
Culottes,0.015513658727167746,0.27406555,0.00018542472,Gauchos
Shorts,0.019866610886183612,0.28273576,0.00013252256,Sweatshorts
Robe,0.012114967724536612,0.26720124,0.00014117864,Dress
Cardigan,0.018383357132237776,0.2731723,0.0001524444,Jacket
Coat,0.01871181658823977,0.2784373,0.00017294986,Peacoat
Sweater,0.044411175919427164,0.27659723,0.00014720188,Cardigan
Onesie,0.002651877923721342,0.27095017,0.00027132095,Jumpsuit
Sweatshorts,0.01706951930822981,0.2862097,0.00027726675,Shorts
Leggings,0.011672411825923403,0.27943426,0.00021462645,Jeggings
Dress,0.0828271023998285,0.27228695,9.8773206e-05,Nightdress
Skirt,0.03441217858513496,0.27942702,0.00014409154,Culottes
Sarong,0.012035445961504552,0.27172184,0.00018800616,Caftan
Sundress,0.02765282872740977,0.27768505,0.000101618425,Dress
Nightdress,0.01678946440363864,0.26773122,0.00011711812,Dress
Jeggings,0.0395292311628502,0.2761062,0.00020033817,Leggings
Jacket,0.023147747978245613,0.27568495,0.00012243041,Coat
Top,0.0001590435260641222,0.24016665,0.00028590017,Tee
Blazer,0.01009926390507176,0.2745434,0.00016385567,Jacket
Peacoat,0.008560690663799274,0.26976472,0.00016067948,Cardigan
Jodhpurs,0.0022335243008135422,0.27126482,0.00025898014,Jeggings
Hoodie,0.011530655639648859,0.2767206,0.00024013719,Jacket
Turtleneck,0.001234316060975905,0.27137905,0.00022198439,Sweater
Parka,0.0079279740275007,0.28156048,0.0002512077,Coat
Kimono,0.0005255351296031864,0.28306735,0.0002489592,Caftan
Sweatpants,0.008325582842661005,0.28668368,0.00019367509,Joggers
Gauchos,0.005538863668580952,0.2733266,0.00022921045,Culottes
Henley,0.0009784634320901431,0.25028118,0.00021944618,Tee
Joggers,0.005812003637256292,0.2784559,0.00021516618,Sweatpants
Poncho,0.003696033247011883,0.27245262,0.00019560226,Caftan
Flannel,0.007443928513392502,0.28890353,0.00033840776,Shirtdress
Chinos,0.0008747393933526721,0.25746346,0.00023636046,Gauchos
Capris,0.001417561862745437,0.26183456,0.00028001273,Joggers
Trunks,0.0001417561862745437,0.25044027,0.0002155711,Tee
Coverup,0.0003595766676232328,0.2436334,0.00023402617,Cutoffs
Cape,0.0001106389746533024,0.2538779,0.00012960285,Blouse
Bomber,0.0003595766676232328,0.25371864,0.0003728133,Tee
Tank,0.0001590435260641222,0.25456023,0.00021308401,Cutoffs
