file,label
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0659.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0104.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0116.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0655.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0312.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0656.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0019.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0711.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0539.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0309.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0486.jpg,Capsicum
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0633.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0508.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0393.jpg,Bean
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0314.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0394.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0149.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0205.jpg,Capsicum
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0623.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0484.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0143.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0620.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0201.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0134.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0311.jpg,Papaya
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0138.jpg,Radish
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0145.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0013.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0107.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0537.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0654.jpg,Brinjal
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0644.jpg,Broccoli
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0128.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0618.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0150.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0512.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0516.jpg,Capsicum
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0488.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0631.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0313.jpg,Capsicum
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0534.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0316.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0199.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0151.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0103.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0396.jpg,Papaya
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0527.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0628.jpg,Capsicum
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0014.jpg,Capsicum
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0621.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0118.jpg,Capsicum
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0018.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0015.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0801.jpg,Papaya
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0101.jpg,Capsicum
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0113.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0522.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0529.jpg,Capsicum
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0124.jpg,Papaya
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0005.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0513.jpg,Brinjal
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0514.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0122.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0153.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0125.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0206.jpg,Capsicum
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0147.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0510.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0012.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0315.jpg,Cucumber
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0146.jpg,Bottle Gourd
/tmp/tmpeugfaj2g/Vegetable Images/test/Bean/0492.jpg,Cucumber
