category,fraction,average_dot_product,variance,second_best_category
Image of Bitter Gourd,0.14747619047619048,0.309597,0.00025151134,Image of Bottle Gourd
Image of Radish,0.05680952380952381,0.30005997,0.00023301948,Radish
Image of Cucumber,0.1619047619047619,0.30684027,0.00030904432,Cucumber
Image of Bean,0.00819047619047619,0.2636173,9.945936e-05,Image of Cucumber
Image of Bottle Gourd,0.0700952380952381,0.29879254,0.0002487535,Bottle Gourd
Image of Capsicum,0.07585714285714286,0.30458218,0.000191573,Capsicum
Brinjal,0.0005238095238095238,0.2719278,0.0005405762,Image of Brinjal
Image of Brinjal,0.002761904761904762,0.28663066,0.00036764145,Brinjal
Image of Papaya,0.028047619047619047,0.2968067,0.00016559931,Image of Bitter Gourd
Bottle Gourd,0.005,0.2912363,7.939112e-05,Image of Bottle Gourd
Image of Carrot,0.08261904761904762,0.3196883,0.00021191688,Carrot
Image of Broccoli,0.11114285714285714,0.30263183,0.000407156,Broccoli
Image of Cabbage,0.07742857142857143,0.30945247,0.00042130586,Cabbage
Image of Cauliflower,0.06661904761904762,0.33152807,0.00026162443,Cauliflower
Image of Pumpkin,0.007190476190476191,0.30403593,8.3999126e-05,Image of Bitter Gourd
Bitter Gourd,0.0005714285714285715,0.30469823,8.005897e-05,Image of Bitter Gourd
Image of Tomato,0.033761904761904764,0.30857828,0.00020764006,Tomato
Cauliflower,0.0007142857142857143,0.3060743,0.00032819906,Image of Cauliflower
Papaya,0.0003333333333333333,0.3087716,0.00023274762,Image of Papaya
Capsicum,0.000619047619047619,0.2994831,0.00026305823,Image of Capsicum
Image of Potato,0.06209523809523809,0.32182366,0.00028621932,Potato
Broccoli,9.523809523809524e-05,0.30527857,2.7813017e-05,Image of Broccoli
Tomato,0.00014285714285714287,0.3148396,7.279714e-05,Image of Tomato
