category,fraction,average_dot_product,variance,second_best_category
Image of Zebra,0.13725,0.32851556,9.868879e-05,Picture of Zebra
Picture of Zebra,0.07975,0.33123252,9.063195e-05,Image of Zebra
Wild Zebra,0.015,0.32163182,0.00013097127,Image of Zebra
African Zebra,0.01075,0.327001,0.00017804878,Image of Zebra
Zebra Herd,0.0025,0.33265743,6.9391725e-05,Image of Zebra
Zebra in the Wild,0.00375,0.32436147,5.0878523e-05,Wild Zebra
Zebra Plains,0.0005,0.3080218,5.9604645e-08,Image of Zebra
Picture of Rhino,0.1435,0.3195436,0.00017035216,Image of Rhino
Large Zebra,0.0005,0.31093574,4.541874e-05,Wild Zebra
African Rhino,0.03525,0.31351143,0.00013283805,Image of Rhino
Image of Rhino,0.066,0.3137514,0.0001502037,Picture of Rhino
African Buffalo,0.21475,0.32595345,0.00034230135,Buffalo in the Wild
Picture of Elephant,0.07975,0.30824912,0.00011380115,Image of Elephant
Large Elephant,0.0045,0.30223092,0.00012473928,Picture of Elephant
African Elephant,0.09625,0.3138971,0.00010265994,Picture of Elephant
Rhinoceros,0.00225,0.3167789,0.00014527638,Image of Rhino
Wild Rhino,0.0015,0.2919478,0.000163426,Image of Rhino
Rhino in the Wild,0.00325,0.30125758,0.00014107044,Image of Rhino
Large Buffalo,0.01075,0.29689577,0.00046473325,African Buffalo
Wild Elephant,0.01225,0.30955523,8.1529426e-05,African Elephant
Image of Elephant,0.04675,0.30924714,9.431686e-05,Picture of Elephant
Rhino Herd,0.00025,0.322464,0.0,Image of Rhino
Elephant in the Wild,0.00875,0.30475393,0.00014301708,Wild Elephant
Elephant,0.005,0.29331386,8.136034e-05,Picture of Elephant
Buffalo in the Wild,0.01025,0.31277168,0.0003435321,African Buffalo
Image of Buffalo,0.0025,0.2933925,0.00014305115,Large Buffalo
Picture of Buffalo,0.00425,0.29822764,0.00034165382,Image of Buffalo
Buffalo Plains,0.00075,0.31093022,0.0002488792,Buffalo in the Wild
Buffalo Herd,0.00075,0.30747437,1.134475e-05,Buffaloes
Elephant Herd,0.00025,0.28923595,0.0,Buffalo Herd
Buffaloes,0.0005,0.31317964,6.183982e-07,African Buffalo
