category,fraction,average_dot_product,variance,second_best_category
Image of Swan,0.007223693715386468,0.2985041,0.0002651033,Picture of Swan
Image of Goose,0.011798699735131231,0.30281112,0.00026196294,Picture of Goose
Picture of Swan,0.0029582745691582677,0.30383825,0.00015747269,Image of Swan
Swan,0.0003095868735165629,0.2961331,0.00057773455,Picture of Swan
Swans,0.002339100822125142,0.2999988,0.00022164512,Image of Swan
Image of Ostrich,0.005125382683774208,0.30945638,0.0003054126,Picture of Ostrich
Image of Magpie,0.011385917237109147,0.2950002,0.0004292053,Picture of Magpie
Image of Zebra,0.006294933094836779,0.31664854,0.00022002257,Picture of Zebra
Picture of Zebra,0.0009287606205496887,0.31458053,0.00013364686,Image of Zebra
Zebras,0.0001719927075092016,0.32069883,0.0006540775,Image of Zebra
Camels,0.0005503766640294451,0.29417506,0.0002225563,Image of Camel
Image of Woodpecker,0.0061229403873275775,0.3036213,0.00033652916,Picture of Woodpecker
Woodpeckers,0.0006535722885349662,0.2940476,0.00036827513,Image of Woodpecker
Woodpecker,0.0006191737470331258,0.30258796,0.00028428104,Picture of Woodpecker
Picture of Woodpecker,0.0017199270750920162,0.30531,0.00032666206,Image of Woodpecker
Squirrel,0.0004815795810257645,0.295249,6.70978e-05,Image of Squirrel
Image of Harbor Seal,0.007670874754910391,0.30062523,0.00030737394,Picture of Harbor Seal
Image of Sea Lion,0.009184410580991367,0.30640343,0.00019915006,Picture of Sea Lion
Sea Lions,0.001169550411062571,0.30324337,0.00025142642,Image of Sea Lion
Image of Whale,0.010491555158061298,0.29779425,0.000223091,Picture of Whale
Harbor Seals,0.0012383474940662516,0.3016188,0.0001945893,Image of Harbor Seal
Sea Lion,0.0013759416600736128,0.3019731,0.00028372408,Image of Sea Lion
Image of Otter,0.0035774483161913934,0.3027039,0.00029201692,Picture of Otter
Picture of Otter,0.00020639124901104193,0.3115612,8.2065664e-05,Image of Otter
Otter,0.0003439854150184032,0.30508035,3.6537647e-05,Image of Otter
Image of Hippopotamus,0.004368614770733721,0.31133768,0.00035849144,Picture of Hippopotamus
Picture of Harbor Seal,0.00010319562450552096,0.29698342,0.00016843279,Image of Harbor Seal
Picture of Sea Lion,0.00027518833201472257,0.30433792,0.00031161308,Image of Sea Lion
Image of Panda,0.0015823329090846549,0.30148238,0.000108584114,Picture of Panda
Picture of Panda,0.0017887241580956967,0.3029534,6.717902e-05,Image of Panda
