category,fraction,average_dot_product,variance,second_best_category
Road Bike,0.1340612135314122,0.29074126,7.215329e-05,Image of Bike
Picture of Bike,0.03221764811168785,0.29010049,9.3825656e-05,Image of Bike
Image of Bike,0.010918202971183103,0.28227755,0.00011842759,Picture of Bike
Mountain Bike,0.001968856273492035,0.27953613,4.4974415e-05,Image of Bike
Picture of Car,0.04850545910148559,0.26039433,0.0002124547,Image of Car
Image of Auto Rickshaw,0.10434938249507786,0.31594154,0.00079091825,Picture of Auto Rickshaw
Freight Train,0.020583497404689458,0.2659385,0.00083098206,Picture of Train
Luxury Car,0.02863790943261142,0.272991,0.00018324256,Picture of Car
Electric Car,0.00393771254698407,0.25968173,0.00029625677,Image of Car
Image of Car,0.03221764811168785,0.25944284,0.00020297368,Picture of Car
Cars,0.0076964381600143185,0.25234416,0.00027004507,Cars
Cargo Ship,0.015034902452120994,0.27460206,0.00042888097,Image of Ship
Human Car,0.0007159477358152855,0.24886541,0.00016330555,Image of Car
Human Auto Rickshaw,0.001968856273492035,0.30406943,0.0012542334,Image of Auto Rickshaw
Passenger Train,0.011097189905136926,0.27649364,0.00014019782,Image of Train
Picture of Auto Rickshaw,0.02989081797028817,0.3124198,0.0005567059,Image of Auto Rickshaw
Electric Rickshaw,0.005548594952568463,0.311531,0.00053318084,Image of Auto Rickshaw
Image of Train,0.11258278145695365,0.28155404,0.00018736895,Picture of Train
Auto Rickshaws,0.01163415070699839,0.3069701,0.0006893451,Auto Rickshaws
Trains,0.0030427778772149634,0.26709953,0.00022116829,Trains
Picture of Train,0.005011634150706998,0.2913033,0.00027440276,Image of Train
Human Train,0.0008949346697691068,0.27825308,7.5101852e-06,Image of Train
Helicopter,0.011455163773044568,0.27430755,0.00025137514,Image of Airplane
Human Bike,0.00017898693395382138,0.2563987,0.0,Image of Bike
Planes,0.006980490424199033,0.25411737,0.00018108808,Planes
Image of Airplane,0.10381242169321639,0.2662578,0.0001719705,Picture of Airplane
Private Jet,0.013960980848398067,0.2710102,0.00029445917,Image of Airplane
Picture of Airplane,0.006801503490245212,0.2670343,0.00019740431,Image of Airplane
Human Plane,0.00017898693395382138,0.25530753,0.0,Image of Airplane
Picture of Ship,0.02112045820655092,0.26581943,0.00048061146,Image of Ship
Image of Ship,0.049042419903347054,0.2642286,0.00047520825,Picture of Ship
Cruise Ship,0.0418829425451942,0.29227817,0.00027686715,Image of Ship
Human Ship,0.011097189905136926,0.23824422,0.00043526772,Image of Ship
Ships,0.0026848040093073204,0.25042006,0.00026973884,Ships
Luxury Rickshaw,0.0012529085376767495,0.29206634,0.0018913491,Image of Auto Rickshaw
Image of Motorcycle,0.025774118489350278,0.28489223,0.00013485883,Picture of Motorcycle
Motorcycles,0.005727581886522284,0.28691334,0.0002393201,Motorcycles
Picture of Motorcycle,0.03705029532844102,0.2904589,7.337303e-05,Image of Motorcycle
Sports Motorcycle,0.022552353678181494,0.2831217,6.399457e-05,Image of Motorcycle
Touring Motorcycle,0.015392876320028637,0.28299457,0.0001089961,Picture of Motorcycle
Human Motorcycle,0.0005369608018614641,0.28671256,8.111695e-05,Image of Motorcycle
