category,fraction,average_dot_product,variance,second_best_category
skateboard,0.049728260869565215,0.28734666,0.0003146083,scooter
scooter,0.08614130434782609,0.27984288,0.00024378563,motorcycle
sewgay,0.0005434782608695652,0.2497305,5.972013e-05,van
kayak,0.07309782608695652,0.28766504,0.0002743533,jet ski
unicycle,0.07038043478260869,0.29055017,0.00070851005,bicycle
van,0.04673913043478261,0.27073014,0.00028417277,truck
helicopter,0.051086956521739134,0.2743812,0.00015607286,airplane
airplane,0.0453804347826087,0.26506662,0.00017134158,helicopter
ambulance,0.052445652173913046,0.2961736,0.0004833004,fire truck
bicycle,0.03260869565217391,0.2769467,0.00033160846,unicycle
rickshaw,0.049728260869565215,0.30041328,0.00050804263,scooter
motorcycle,0.05733695652173913,0.27418792,0.00023150783,scooter
tractor,0.057608695652173914,0.28800645,0.00030254867,truck
truck,0.042934782608695654,0.27192584,0.00024791912,van
boat,0.06630434782608696,0.26797062,0.00019411962,kayak
jet ski,0.06385869565217392,0.2899071,0.00026512958,kayak
fire truck,0.05380434782608696,0.2964153,0.00019679406,ambulance
car,0.051630434782608696,0.25741047,0.00014686584,truck
bus,0.048641304347826084,0.27266923,0.00015129856,van
