file,label
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/370a91a0-870f-4da2-b112-6783f00764cf.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/5e44b091-ad8a-46e9-b16c-9c08c6550599.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/2418b923-328e-4bf4-8a25-908624beb08e.jpg,non-powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/4d700ac9-dd49-423e-ba4c-bcfddd86face.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/087d83f6-a709-4deb-ada9-36a504b1bad3.jpg,non-powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/34dc89e7-6c06-448c-8269-e599ce04b245.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/b09e944e-0ec3-4ed1-8e18-780c3f7f312a.png,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/ea986eae-2c3c-4e3b-8bda-28f2d22c27ba.jpg,non-powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/dd75476e-212c-4c10-b3ef-3d60899711b0.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/7e601c3c-5a5e-45a0-bd4c-c01eb4d3117d.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/e7127308-fcac-466e-bcf8-001ea94277c3.jpg,non-powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/d4fd3b88-c5eb-4c70-80e3-7d41b2c518c1.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/9baafbd3-e20a-4dd0-a0ba-c9f40c593cd1.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/b91597ab-bad3-4494-991b-f498d8baa38f.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/2b4f672d-171a-4303-8e9a-44fbe37c490e.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/eed3a5da-ca07-487a-ab6d-ef0d78bb5d46.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/4ea5cc24-b3a4-4f1b-98e1-ffb07ed050e3.jpg,non-powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/c6ef97c8-a9bd-48dc-b950-5bc69a1edeba.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/69d60a44-17cb-4eef-9a05-a042852f956a.jpg,non-powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/da6fc166-5005-4bbf-bb77-e0c1442db3d6.png,non-powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/01159c53-976a-4447-b57a-09990465db9f.png,non-powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/88e66eb1-1b33-48be-b570-bcc53ee4315f.jpg,non-powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/862a97be-4304-46b3-bff0-d28ca1ac0737.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/cf29d18f-da23-4f3d-a084-3929c7b96cb7.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/ca7626a3-24c0-40b1-b6f5-0cdebf83fa61.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/53281fbf-09ce-4bf2-9fcc-fc73a605d9ce.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/2cbfe303-6f31-460e-b6c8-4595fe4c1228.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/a0ff09df-c7cf-4fbc-957e-402eeaf43b0f.JPG,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/e2e2b0b0-58df-44de-a36f-0909685921e4.png,non-powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/36ab2642-9e3a-4df8-aa63-a3d9a6d9e911.jpg,powered vehicle
/tmp/tmpu6xxxkr4/vehicle_data/skateboard/6e4b5804-ab99-48cb-9495-4d1e8e185d2c.jpg,powered vehicle
